utc_timestamp,AT_solar_generation_actual,AT_wind_onshore_generation_actual,electricity,AT_price_day_ahead,temperature
2017-01-01 00:00:00+00:00,0,86,86,26,-4.973
2017-01-01 01:00:00+00:00,0,72,72,24,-5.201
2017-01-01 02:00:00+00:00,0,73,73,20,-5.3
2017-01-01 03:00:00+00:00,0,69,69,20,-5.15
2017-01-01 04:00:00+00:00,0,77,77,19,-4.985
2017-01-01 05:00:00+00:00,0,73,73,15,-4.899
2017-01-01 06:00:00+00:00,8,65,73,14,-4.904
2017-01-01 07:00:00+00:00,17,55,72,18,-4.583
2017-01-01 08:00:00+00:00,56,60,116,20,-3.124
2017-01-01 09:00:00+00:00,114,60,174,21,-1.198
2017-01-01 10:00:00+00:00,162,50,212,23,0.236
2017-01-01 11:00:00+00:00,179,42,221,22,1.027
2017-01-01 12:00:00+00:00,161,48,209,20,1.231
2017-01-01 13:00:00+00:00,114,43,157,20,0.74
2017-01-01 14:00:00+00:00,55,54,109,23,-0.737
2017-01-01 15:00:00+00:00,17,60,77,31,-2.081
2017-01-01 16:00:00+00:00,8,56,64,38,-2.705
2017-01-01 17:00:00+00:00,8,42,50,38,-3.195
2017-01-01 18:00:00+00:00,0,36,36,37,-3.579
2017-01-01 19:00:00+00:00,0,36,36,32,-3.9
2017-01-01 20:00:00+00:00,0,34,34,30,-4.265
2017-01-01 21:00:00+00:00,0,43,43,31,-4.509
2017-01-01 22:00:00+00:00,0,43,43,24,-4.555
2017-01-01 23:00:00+00:00,0,48,48,26,-4.602
2017-01-02 00:00:00+00:00,0,56,56,24,-4.741
2017-01-02 01:00:00+00:00,0,52,52,23,-4.982
2017-01-02 02:00:00+00:00,0,62,62,22,-5.312
2017-01-02 03:00:00+00:00,0,74,74,24,-5.672
2017-01-02 04:00:00+00:00,0,76,76,27,-6.003
2017-01-02 05:00:00+00:00,0,104,104,33,-6.264
2017-01-02 06:00:00+00:00,8,111,119,45,-6.521
2017-01-02 07:00:00+00:00,17,111,128,42,-6.257
2017-01-02 08:00:00+00:00,54,111,165,47,-4.739
2017-01-02 09:00:00+00:00,102,105,207,49,-2.607
2017-01-02 10:00:00+00:00,140,109,249,51,-1.254
2017-01-02 11:00:00+00:00,155,102,257,50,-0.174
2017-01-02 12:00:00+00:00,138,120,258,52,0.097
2017-01-02 13:00:00+00:00,97,170,267,49,-0.589
