utc_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead
2017-01-01 00:00:00+00:00,6315,6080,26
2017-01-01 01:00:00+00:00,6102,5930,24
2017-01-01 02:00:00+00:00,5830,5726,20
2017-01-01 03:00:00+00:00,5715,5686,20
2017-01-01 04:00:00+00:00,5818,5792,19
2017-01-01 05:00:00+00:00,5774,5810,15
2017-01-01 06:00:00+00:00,6168,6262,14
2017-01-01 07:00:00+00:00,6406,6603,18
2017-01-01 08:00:00+00:00,6677,6943,20
2017-01-01 09:00:00+00:00,6893,7110,21
2017-01-01 10:00:00+00:00,6990,7174,23
2017-01-01 11:00:00+00:00,6891,6976,22
2017-01-01 12:00:00+00:00,6741,6795,20
2017-01-01 13:00:00+00:00,6673,6673,20
2017-01-01 14:00:00+00:00,6716,6692,23
2017-01-01 15:00:00+00:00,7149,7025,31
2017-01-01 16:00:00+00:00,7706,7546,38
2017-01-01 17:00:00+00:00,7828,7750,38
2017-01-01 18:00:00+00:00,7513,7566,37
2017-01-01 19:00:00+00:00,7184,7197,32
2017-01-01 20:00:00+00:00,6789,6875,30
2017-01-01 21:00:00+00:00,6906,7099,31
2017-01-01 22:00:00+00:00,6633,6690,24
2017-01-01 23:00:00+00:00,6353,6786,26
2017-01-02 00:00:00+00:00,6138,6541,24
2017-01-02 01:00:00+00:00,6042,6414,23
2017-01-02 02:00:00+00:00,5914,6282,22
2017-01-02 03:00:00+00:00,6076,6475,24
2017-01-02 04:00:00+00:00,6663,7171,27
2017-01-02 05:00:00+00:00,7383,8197,33
2017-01-02 06:00:00+00:00,8251,9116,45
2017-01-02 07:00:00+00:00,8724,9420,42
2017-01-02 08:00:00+00:00,8992,9530,47
2017-01-02 09:00:00+00:00,9024,9536,49
2017-01-02 10:00:00+00:00,9069,9497,51
2017-01-02 11:00:00+00:00,8942,9311,50
2017-01-02 12:00:00+00:00,8842,9306,52
2017-01-02 13:00:00+00:00,8784,9215,49
