utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,5946,6701,35,,69
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,5726,6593,45,,64
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,5347,6482,41,,65
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,5249,6454,38,,64
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,5309,6609,35,,64
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,5574,6543,35,,84
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,5925,6851,36,,131
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,6343,7061,36,2,109
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,6882,7233,41,10,146
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,6963,7451,45,21,146
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,7110,7547,50,32,158
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,7136,7454,51,37,187
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,7013,7391,48,35,244
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,6735,7316,47,27,299
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,6543,7251,46,14,327
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,6603,7476,51,3,346
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,6735,7753,61,0,310
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,6626,7701,58,0,205
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,6738,7483,54,0,222
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,6654,7222,44,0,251
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,6255,6983,35,0,138
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,6221,7064,33,0,92
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,5864,6893,21,0,103
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,5533,6524,15,0,106
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,5205,6395,9,0,79
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,4971,6359,5,0,126
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,4669,6348,-5,0,195
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,4756,6431,-4,0,225
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,5080,6824,-4,0,237
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,5422,7321,9,0,211
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,5856,8058,26,0,242
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,6366,8281,36,3,302
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,6431,8242,42,15,369
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,6699,8240,41,33,413
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,6543,8217,45,50,407
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,6310,8017,47,58,424
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,6257,7835,46,55,478
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,6307,7789,44,41,520
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,6502,7850,44,20,578
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,6889,8165,53,4,553
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,5972,8473,65,0,1048
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,5892,8313,62,0,1498
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,5807,7930,52,0,1615
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,5313,7502,41,0,1702
