utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual
2019-01-01T00:00:00Z,2019-01-01T01:00:00+0100,5852,5641,,0,188
2019-01-01T01:00:00Z,2019-01-01T02:00:00+0100,5619,5511,,0,139
2019-01-01T02:00:00Z,2019-01-01T03:00:00+0100,5324,5343,,0,115
2019-01-01T03:00:00Z,2019-01-01T04:00:00+0100,5273,5383,,0,163
2019-01-01T04:00:00Z,2019-01-01T05:00:00+0100,5439,5535,,0,285
2019-01-01T05:00:00Z,2019-01-01T06:00:00+0100,5517,5719,,0,450
2019-01-01T06:00:00Z,2019-01-01T07:00:00+0100,5948,6197,,10,592
2019-01-01T07:00:00Z,2019-01-01T08:00:00+0100,6204,6598,,25,637
2019-01-01T08:00:00Z,2019-01-01T09:00:00+0100,6544,6957,,55,679
2019-01-01T09:00:00Z,2019-01-01T10:00:00+0100,6884,7184,,102,907
2019-01-01T10:00:00Z,2019-01-01T11:00:00+0100,7064,7277,,151,957
2019-01-01T11:00:00Z,2019-01-01T12:00:00+0100,7062,7105,,168,1102
2019-01-01T12:00:00Z,2019-01-01T13:00:00+0100,7041,6904,,156,1635
2019-01-01T13:00:00Z,2019-01-01T14:00:00+0100,6938,6797,,108,1812
2019-01-01T14:00:00Z,2019-01-01T15:00:00+0100,6976,6836,,48,2066
2019-01-01T15:00:00Z,2019-01-01T16:00:00+0100,7257,7155,,14,2212
2019-01-01T16:00:00Z,2019-01-01T17:00:00+0100,7591,7483,,4,2217
2019-01-01T17:00:00Z,2019-01-01T18:00:00+0100,7616,7516,,4,2283
2019-01-01T18:00:00Z,2019-01-01T19:00:00+0100,7277,7257,,0,2375
2019-01-01T19:00:00Z,2019-01-01T20:00:00+0100,7031,6955,,0,2682
2019-01-01T20:00:00Z,2019-01-01T21:00:00+0100,6514,6593,,0,2506
2019-01-01T21:00:00Z,2019-01-01T22:00:00+0100,6612,6659,,0,2648
2019-01-01T22:00:00Z,2019-01-01T23:00:00+0100,6225,6268,,0,2709
2019-01-01T23:00:00Z,2019-01-02T00:00:00+0100,5928,6135,,0,2640
2019-01-02T00:00:00Z,2019-01-02T01:00:00+0100,5665,5864,,0,2587
2019-01-02T01:00:00Z,2019-01-02T02:00:00+0100,5546,5757,,0,2494
2019-01-02T02:00:00Z,2019-01-02T03:00:00+0100,5451,5644,,0,2411
2019-01-02T03:00:00Z,2019-01-02T04:00:00+0100,5634,5800,,0,2563
2019-01-02T04:00:00Z,2019-01-02T05:00:00+0100,6241,6359,,0,2892
2019-01-02T05:00:00Z,2019-01-02T06:00:00+0100,7025,7171,,0,2863
2019-01-02T06:00:00Z,2019-01-02T07:00:00+0100,7927,7985,,10,2760
2019-01-02T07:00:00Z,2019-01-02T08:00:00+0100,8334,8366,,24,2723
2019-01-02T08:00:00Z,2019-01-02T09:00:00+0100,8629,8563,,52,2857
2019-01-02T09:00:00Z,2019-01-02T10:00:00+0100,8747,8674,,92,2901
2019-01-02T10:00:00Z,2019-01-02T11:00:00+0100,8830,8704,,138,2842
2019-01-02T11:00:00Z,2019-01-02T12:00:00+0100,8849,8581,,161,2764
2019-01-02T12:00:00Z,2019-01-02T13:00:00+0100,8809,8505,,154,2935
2019-01-02T13:00:00Z,2019-01-02T14:00:00+0100,8776,8446,,107,2967
2019-01-02T14:00:00Z,2019-01-02T15:00:00+0100,8813,8499,,48,2912
2019-01-02T15:00:00Z,2019-01-02T16:00:00+0100,9048,8801,,14,2811
2019-01-02T16:00:00Z,2019-01-02T17:00:00+0100,9273,9083,,4,2654
2019-01-02T17:00:00Z,2019-01-02T18:00:00+0100,9130,8922,,4,2642
2019-01-02T18:00:00Z,2019-01-02T19:00:00+0100,8664,8443,,0,2669
2019-01-02T19:00:00Z,2019-01-02T20:00:00+0100,8171,7894,,0,2741
2019-01-02T20:00:00Z,2019-01-02T21:00:00+0100,7674,7344,,0,2752
2019-01-02T21:00:00Z,2019-01-02T22:00:00+0100,7546,7233,,0,2634
2019-01-02T22:00:00Z,2019-01-02T23:00:00+0100,7028,6734,,0,2623
2019-01-02T23:00:00Z,2019-01-03T00:00:00+0100,6704,6135,,0,2580
2019-01-03T00:00:00Z,2019-01-03T01:00:00+0100,6441,5864,,0,2676
2019-01-03T01:00:00Z,2019-01-03T02:00:00+0100,6315,5757,,0,2730
2019-01-03T02:00:00Z,2019-01-03T03:00:00+0100,6187,5644,,0,2804
2019-01-03T03:00:00Z,2019-01-03T04:00:00+0100,6275,5800,,0,2771
2019-01-03T04:00:00Z,2019-01-03T05:00:00+0100,6826,6359,,0,2761
2019-01-03T05:00:00Z,2019-01-03T06:00:00+0100,7534,7171,,0,2804
2019-01-03T06:00:00Z,2019-01-03T07:00:00+0100,8417,7985,,11,2805
2019-01-03T07:00:00Z,2019-01-03T08:00:00+0100,8733,8366,,30,2821
2019-01-03T08:00:00Z,2019-01-03T09:00:00+0100,9053,8563,,62,2883
2019-01-03T09:00:00Z,2019-01-03T10:00:00+0100,9201,8674,,98,2926
2019-01-03T10:00:00Z,2019-01-03T11:00:00+0100,9312,8704,,140,2808
2019-01-03T11:00:00Z,2019-01-03T12:00:00+0100,9240,8581,,152,2399
2019-01-03T12:00:00Z,2019-01-03T13:00:00+0100,9180,8505,,134,1918
